1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.6255, 1.0000, 1.0000
0.9896, 0.3310, 0.8092, 0.8190, 0.8950, 0.5000, 0.7387, 0.9710, 0.8720
0.9844, 1.0000, 1.0000, 0.9950, 1.0000, 1.0000, 0.6250, 1.0000, 1.0000
0.9719, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.6608, 0.6670, 1.0000
0.9719, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.7233, 1.0000, 1.0000
0.9647, 0.7610, 0.8092, 0.8190, 0.9830, 0.5000, 0.7881, 0.9470, 0.8860
0.9615, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.7643, 1.0000, 1.0000
0.9563, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.9355, 1.0000, 1.0000
0.9532, 0.2330, 0.8092, 0.8190, 0.8530, 0.5000, 0.8219, 0.9520, 0.8940
0.9439, 0.4790, 0.8092, 0.8180, 0.9400, 0.5000, 0.7331, 0.9330, 0.8700
0.9407, 0.1510, 0.6187, 0.5490, 0.7340, 0.2500, 0.6639, 0.8700, 0.6510
0.9407, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.7742, 0.7500, 1.0000
0.9376, 0.1360, 0.6187, 0.5400, 0.5510, 0.2500, 0.3359, 0.7690, 0.4440
0.9376, 0.3450, 0.6979, 0.6670, 0.8820, 0.3330, 0.6125, 0.8570, 0.7100
0.9376, 0.2720, 0.6979, 0.6690, 0.8290, 0.3330, 0.5592, 0.8750, 0.6810
0.9335, 1.0000, 1.0000, 0.9990, 1.0000, 1.0000, 0.7289, 1.0000, 1.0000
0.9324, 0.4390, 0.8092, 0.8180, 0.9350, 0.5000, 0.7877, 0.9410, 0.8850
0.9231, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.6922, 1.0000, 1.0000
0.9231, 0.4460, 0.8092, 0.8190, 0.9170, 0.5000, 0.5868, 0.9520, 0.8210
0.9220, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.6720, 1.0000, 1.0000
0.9220, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.7276, 1.0000, 1.0000
0.9179, 0.5820, 0.8092, 0.8050, 0.9630, 0.5000, 0.8095, 0.9090, 0.8910
0.9127, 0.3120, 0.8092, 0.8180, 0.8660, 0.5000, 0.6140, 0.7060, 0.8310
0.9127, 0.1090, 0.6979, 0.6700, 0.6470, 0.3330, 0.6400, 0.9230, 0.7250
0.9127, 0.4280, 0.8092, 0.7750, 0.9310, 0.5000, 0.7699, 0.8890, 0.8810
0.9075, 0.3150, 0.8092, 0.8180, 0.8860, 0.5000, 0.7237, 0.9330, 0.8670
0.9075, 0.0830, 0.6187, 0.5490, 0.4950, 0.2500, 0.4638, 0.7060, 0.5260
0.9075, 0.1350, 0.5074, 0.3620, 0.5780, 0.1670, 0.3770, 0.6670, 0.3470
0.9044, 0.3210, 0.8092, 0.8180, 0.8550, 0.5000, 0.5485, 0.9410, 0.8010
0.8992, 0.2330, 0.6979, 0.6700, 0.8210, 0.3330, 0.6521, 0.9000, 0.7310
0.8992, 0.6940, 0.8092, 0.8190, 0.9760, 0.5000, 0.7607, 0.9470, 0.8780
0.8992, 0.2160, 0.6979, 0.6700, 0.7970, 0.3330, 0.6140, 0.6670, 0.7110
0.8909, 0.2100, 0.6979, 0.6700, 0.8130, 0.3330, 0.7001, 0.9000, 0.7550
0.8888, 0.3990, 0.6979, 0.6700, 0.9390, 0.3330, 1.0000, 0.9000, 0.8700
0.8836, 1.0000, 1.0000, 0.9840, 1.0000, 1.0000, 0.7154, 1.0000, 1.0000
